geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ken,Kenya,,,,,,0.00073,0.00884,0.0344,0.0503,0.114,0.31806,0.61978,1.20777,2.9419,3.02353,3.1019,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.58785,16.6,17.8271,19.5,22.66877,24.7228,26.9629,29.4059,32.0704,34.97623,
kgz,Kyrgyz Republic,,,,,,,,,0.0728,0.205,1.0414,3.00294,2.99927,3.90877,5.09039,10.5338,12.3069,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.247,40.5262,50.8053,62.8,64.1,72,77.1177,84.1937,91.0444,92.0286,
khm,Cambodia,,,,,,,,0.00584,0.0163,0.032,0.04702,0.07696,0.22698,0.26057,0.30044,0.31732,0.4684,0.49,0.51,0.53,1.26,3.1,4.94,6,14,6.43319,32.39845,32.90028,65,52.30588,56.3759,60.7627,65.4908,68.9255,68.4753,
kir,Kiribati,,,,,,,,,0.617,1.21,1.78523,2.33746,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.7468,11.5,12.25,14.9,19.4194,25.3096,32.9864,41.793,52.9509,67.0876,84.9985,88,89.4403,
kna,St. Kitts and Nevis,,,,,,,1.95,2.26,3.34,4.4,5.86281,7.71473,21.15238,22.96978,24.73768,34,38.5,43.5,49.2,55.7,63,63.2,64,64.6,65.3818,66.1731,66.9739,67.7844,68.6048,69.435,70.2753,74.3716,75.7623,76.5895,76.884,
kor,South Korea,0.0233,0.0461,0.0984,0.25,0.311,0.82,1.62,3.6,6.78,23.6,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.75912,84.07,84.77,87.55683,89.89626,92.84303,95.06942,96.02286,96.15758,96.50506,97.57133,97.16855,97.41597,97.89564,
kwt,Kuwait,,,,0.0911,0.147,0.203,0.856,2.17,3.05,4.76,6.7314,8.55179,10.24897,22.40294,22.92711,25.9261,28.7912,34.8,42,50.8,61.4,65.76907,70.45,75.46,78.7,82,85.6,97.99999,99.59885,99.54268,99.10587,99.7,99.7473,99.74731,99.7473,100
lao,Lao,,,,,,,,,0.00966,0.0378,0.11104,0.18166,0.2679,0.33391,0.36143,0.8504,1.1699,1.64,3.55,6,7,9,10.7477,12.5,14.26,18.2,21.87,25.5104,36.2713,47.0323,54,62,64.54,64.398,65.5927,
lbn,Lebanon,,,,,,0.0716,0.14,1.24,2.72,5.38,7.95274,6.78322,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52,61.2498,70.5,73,74,76.11,78.1808,80.9,81.4812,82.0665,82.656,81.4648,81.7059,80.634,
lbr,Liberia,,,,,,,,0.00449,0.0041,0.0113,0.0177,0.03381,0.03271,0.03187,0.03101,0.5514,0.53,0.5514,0.53,2,2.3,2.5,2.6,3.2,5.41,10,15.7,16.3,17.2777,19.8958,22.9107,26.3823,30.3801,31.2241,32.2336,
lby,Libya,,,,,,,,,,0.134,0.18704,0.36653,2.24442,2.81452,3.53284,3.9178,4.3011,4.722,9,10.8,14,14,15.2,16.5,17.76,25,35,47.5,47.5,71.4041,74.3581,77.4388,80.6472,82.1047,81.9545,
lca,St. Lucia,,,,,,0.306,0.67,0.992,1.3,1.93,5.09048,8.18186,14.64184,20.98247,21.39521,21.56758,24.5,27.9,30,31,32.5,34,45.865,49.3872,53.1797,57.2633,58.2226,59.1601,60.1126,61.0805,62.064,63.0633,66.9516,67.4439,68.205,
lie,Liechtenstein,,,,,,,,,,,36.51523,45.11685,59.47071,58.80969,64.00745,63.3714,64.2142,65.0802,70,75,80,85,89.4077,93.8,95.21,96.6412,98.0939,99.5466,,93.1461,94.35,95.5694,97.8807,98.1323,98.2642,
lka,Sri Lanka,,,,,0.00277,0.00548,0.0545,0.162,0.296,0.348,0.64741,0.79382,1.05042,1.45858,1.44616,1.792,2.53757,3.88,4.8245,5.8685,6.9124,7.9564,9.0004,10.0444,10.5,15.2625,22.19,25.0755,28.3362,32.0209,36.18473,44.45309,48.3,51.2,54.59,
lso,Lesotho,,,,,,,0.00285,0.00558,0.011,0.0538,0.21181,0.26115,1.08394,1.5325,2.17552,2.5802,2.97971,3.44543,3.58,3.72,3.86,7,10,15,22,25,32.45386,39,40.8,42.30173,43.6575,45.0567,48.0696,48.9859,51.7966,
ltu,Lithuania,,,,,,,0.277,0.978,1.97,2.92,6.42707,7.17936,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.63998,67.22999,68.4529,72.13354,71.37806,74.37665,77.61526,79.72258,81.58187,83.05555,86.93054,87.7242,88.50287,89.16116,
lux,Luxembourg,,,0.153,0.302,0.496,1.59,5.55,7.14,11.7,17.4,22.88733,36.16342,39.84,54.55,65.88,70,72.51,78.92,82.23,87.31,90.62,90.02986,91.94992,93.7765,94.67021,96.37671,98.1367,97.36296,97.0613,97.12064,98.45963,98.66086,98.24204,99.34786,98.76061,99.12902
lva,Latvia,,,,,,,0.813,2.05,3.32,4.39,6.31906,7.21935,21.94,26.98,38.58,46,53.63,59.17,63.41,66.84,68.42,69.74995,73.11994,75.2344,75.8261,79.20058,79.8421,80.11408,83.57717,86.13546,88.89796,91.17965,91.03009,92.18791,92.70757,
mar,Morocco,,,,,,0.00371,0.00568,0.0216,0.142,0.176,0.69379,1.37144,2.37325,3.35337,11.60793,15.08444,19.77119,21.5,33.1,41.3,52,46.10748,55.41605,56,56.77464,57.08,58.27124,61.76221,64.80387,84.12036,84.12036,88.13032,89.9,91,91.2,
mco,Monaco,,,,,,,,,,,42.18486,46.64614,48.04712,49.49117,52.4902,55.4648,61.476,64.3777,67.25,70.1,75,80.3,87,90.7,92.4,93.3633,95.2082,97.053,,98,98.5708,99.0776,98.7519,98.8705,99.0449,
mda,Moldova,,,,,0.00082,0.00346,0.00464,0.0281,0.261,0.601,1.28285,1.48781,3.78724,7.40754,10.62939,14.63027,19.62065,20.45,23.39,27.5,29.68,32.07,34.65,37.44,67,69,71,71.7671,72.5424,73.3261,74.1183,74.919,74.919,76.5033,77.3688,
mdg,Madagascar,,,,,,,0.0037,0.0143,0.0626,0.169,0.19639,0.22251,0.33972,0.42325,0.52535,0.5677,0.6076,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7,4.174,4.7137,6.406,7.7478,9.3794,11.3547,13.7459,17.8117,18.2408,18.6779,
mdv,Maldives,,,,,,,0.227,0.309,0.57,1.12,2.20387,3.61729,5.34777,5.97659,6.58825,6.86961,11.03635,16.3,23.2,24.8,26.53,34,38.9301,44.1,49.28,54.462,59.4775,64.955,70.9369,77.4697,79.0978,81.9576,83.91189,84.5529,85.24,
mex,Mexico,,0.00588,0.0173,0.0283,0.0433,0.103,0.2,0.627,1.27,1.86,5.08138,7.03802,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.1763,39.75,43.46,44.3857,57.43104,59.54045,53.03179,56.65957,69.63211,71.49017,75.6265,78.63218,81.18319,83.12234,
mhl,Marshall Islands,,,,,,,0.0371,,,0.966,1.53427,1.70661,2.33544,2.56975,3.59978,3.8787,3.79559,3.95,4.6,5.6,7,10,12.5,14,16.8,19.2824,29.7878,38.7012,43.8825,49.7575,56.4191,63.9726,64.2672,64.0759,65.9158,
mkd,North Macedonia,,,,,,0.0407,0.076,0.504,1,1.5,2.48557,3.46818,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7,57.44995,65.24,68.05848,70.3802,72.15681,74.51682,79.16776,81.41288,81.40554,81.8737,83.8503,88.5,93.6,93.1
mli,Mali,,,,,,,0.00206,0.0101,0.0198,0.0609,0.14255,0.1859,0.22705,0.31036,0.43282,0.5071,0.7296,0.81,1.57,1.8,2,2.2,2.8,3.5,7,10.33,14,18.9,21.4,24.9603,29.113,33.9565,35.1992,36.0388,36.8015,
mlt,Malta,,,,,,0.225,1.05,3.92,6.5,7.76,13.11371,17.87785,28.92,31.64,34.62,41.24,40.41,46.9,50.08,58.86,63,68.01982,68.19987,68.9138,73.11412,75.96002,78.07515,81.01191,81.65804,85.7786,86.85876,87.46978,91.54062,92.07267,93.8603,
mmr,Myanmar,,,,,,,,,,0.00015,,0.00029,0.00043,0.02406,0.02434,0.0652,0.18205,0.21713,0.22,0.22,0.25,0.98,1.4,1.8,7.4,10.9,16,23.62108,29.379,36.5405,45.4477,,,,,
mne,Montenegro,,,,,,,,,,,,,,,25.35007,27.1,28.9,30.8,32.9,35.1,37.5,35.61154,56.83878,60.31,63.88688,68.11979,69.88165,71.27233,71.5171,73.47667,77.60879,82.2197,88.22192,88.5516,88.88258,
mng,Mongolia,,,,,,0.00881,0.0182,0.113,0.146,0.508,1.25565,1.65324,2.03957,,,9,9,9,9.8,10,10.2,12.49999,16.4,17.69998,19.94245,22.5,22.26577,23.7143,47.13,51.07999,62.50003,81.60682,81.0772,83.7432,85.1235,
moz,Mozambique,,,,,,,0.00304,0.0118,0.0202,0.0563,0.10959,0.16003,0.25961,0.41954,0.67945,0.8544,0.84295,0.91,1.56,2.68,4.17,4.6,5,5.5,6,6.5,7,7.79633,10.9,12.4793,14.2874,16.3576,18.9622,19.9456,20.5273,
mrt,Mauritania,,,,,,,,0.00417,0.0406,0.118,0.19203,0.26145,0.36323,0.424,0.48147,0.67,0.9797,1.4336,1.87,2.28,4,4.5,5,6.2,11.8,17.6,19.2328,21.0172,22.967,25.0978,29.9065,35.6366,42.4645,44.9563,45.7794,
mus,Mauritius,,,,,,,0.184,0.476,2.57,4.65,7.28154,8.7809,10.25262,12.18711,13.68909,15.1722,16.7,20.22,21.81,22.51,28.33,34.95,35.42,40.11683,44.80328,50.13932,52.1913,55.40324,58.59617,61.72996,67.73291,71.6,75.5,79.5,73.30794,
mwi,Malawi,,,,,,,,0.00467,0.0181,0.0873,0.12678,0.16402,0.21509,0.27882,0.34751,0.3845,0.4251,0.96586,0.7,1.07,2.26,3.33,4.3506,5.05,5.83,6,6.3,7,8.7983,11.0586,13.8995,15.303,16.8483,17.9881,18.9616,
mys,Malaysia,,,0.00105,0.0255,0.0996,0.146,0.852,2.31,6.75,12.3,21.38473,26.69597,32.3382,34.97115,42.25227,48.62917,51.63799,55.7,55.8,55.9,56.3,61,65.8,57.05751,63.66543,71.06407,78.78831,80.14048,81.20105,84.18715,89.55501,96.75143,97.39864,97.69273,98.02061,
nam,Namibia,,,,,,0.00617,0.00903,0.0588,0.287,0.336,1.64474,2.41698,2.6337,3.35984,3.80472,4.01,4.39887,4.83561,5.329,6.5,11.6,12,12.9414,13.9,14.84,25.6879,31.0333,36.8374,42.8207,49.7759,57.8608,60.26,62.9972,63.6955,64.8746,
ner,Niger,,,,,,,0.00104,0.00201,0.00291,0.0281,0.03626,0.10519,0.12715,0.1557,0.18993,0.2213,0.294,0.3904,0.7,0.76,0.83,0.9,1.05,1.15,1.24868,2.4762,4.3228,10.22431,10.7418,11.2855,11.8568,12.4569,13.0875,12.9808,15.5576,
nga,Nigeria,,,,,,,0.00883,0.0172,0.0252,0.041,0.06408,0.0899,0.32046,0.55858,1.28614,3.54916,5.54504,6.77,8,9.3,11.5,13.8,16.1,19.1,21,22.5142,24.1375,25.8779,27.7437,29.7441,31.8888,35.5098,39.1472,40.064,41.2114,
nic,Nicaragua,,,,,0.0132,0.03,0.0841,0.206,0.304,0.498,0.98022,1.4488,1.71473,1.88041,2.32066,2.5664,2.80557,3.9,5.3,7.3,10,10.6,13.5,15.5,17.6,19.7043,24.5718,30.4,33.913,39.0108,44.8749,51.6204,59.38,60.3012,61.3955,
nld,Netherlands,0.334,0.531,1.32,1.97,3.26,6.47,9.65,14.1,22.2,39.2,43.98435,49.37306,61.29,64.35,68.52,81,83.7,85.82,87.42,89.63,90.72,91.42,92.85999,93.9564,91.66667,91.72414,90.41096,93.19728,91.89189,93.28859,91.33333,92.05298,92.51969,97.0068,97.0068,
nor,Norway,0.707,1.41,2.22,2.78,4.15,6.42,18.3,20.4,22.6,40,52,64,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.48998,94.64998,95.0534,96.30051,96.81033,97.2982,96.3576,96.49166,98,94.60756,99,98.99998,99,99,
npl,Nepal,,,,,,0.00093,0.00451,0.022,0.0644,0.147,0.20465,0.24002,0.31296,0.38281,0.44984,0.82655,1.14139,1.41,1.73,1.97,7.93,9,11.1493,13.3,15.44,17.5816,20.7,24.3,28.6,33.3366,36.9653,40.9891,45.4508,45.8068,46.3219,
nru,Nauru,,,,,,,,,,,,2.98716,,,,,,,,,,54,,,,,,62.3851,,74.7379,77.4666,80.295,83.2266,83.0397,83.0117,
nzl,New Zealand,,,0.286,0.631,3.17,4.88,8.04,14.6,31.6,41.5,47.37956,53.24102,59.08075,60.96254,61.84763,62.7202,69,69.76,72.03,79.7,80.46,81.23,81.64447,82.78,84,85.2,86.5,87.7,89,89.8637,90.921,91.9906,93.0729,93.3261,93.5193,
omn,Oman,,,,,,,,0.44,0.863,2.52,3.52042,5.89384,6.8734,7.25574,6.75885,6.6836,8.2997,16.68,20,26.8,35.8278,48,60,66.45,70.22,73.53,76.84539,80.1856,85.5,90.2594,95.23229,95.2388,95.2453,95.2517,95.25175,
pak,Pakistan,,,,,,0.00012,0.00299,0.0275,0.0439,0.0554,,1.31855,2.57743,5.04116,6.16432,6.3323,6.5,6.8,7,7.5,8,8,8.1,9,10,11,12.38545,13.78,15.34,17.0709,18.935,,,,57.253,
pan,Panama,,,,,0.00764,0.0561,0.22,0.539,2.75,3.84,6.5548,7.2684,8.51808,9.98742,11.14086,11.484,17.3496,22.29,33.82,39.08,40.1,42.7,40.3019,44.03,44.92382,51.20542,54,59.95063,61.80553,63.62841,64.8243,66.0427,67.2839,68.54852,72.7715,
per,Peru,,,,,0.0085,0.0334,0.246,0.403,1.19,1.95,3.07643,7.57876,8.96695,11.6,14.1,17.1,20.7,25.2,30.57,31.4,34.77,36.01,38.2,39.2,40.24466,40.8526,45.46174,50.45041,55.05433,59.9505,65.2518,71.10783,74.67495,79.48484,81.95706,
phl,Philippines,,,,,0.00584,0.0286,0.0559,0.137,1.1,1.43,1.98225,2.52401,4.33228,4.85767,5.24363,5.3976,5.74059,5.97,6.22,9,25,29,30.8,32.7,34.7,36.9,39.2,41.6,44.1,43.02661,53.7649,66.9078,75.21114,77.867,67.26301,
plw,Palau,,,,,,,,,,,,,20.24394,21.60153,26.97033,,,,,,,,,,,,,,,,,,82.5675,82.9163,83.9255,
png,Papua New Guinea,,,,,,,0.00207,0.101,0.235,0.667,0.83525,0.9041,1.32166,1.3744,1.50791,1.71619,1.75449,1.7906,1.15,1.61,1.28,2,3.5,5.1,6.5,7.9,9.6015,11.2092,12.3579,13.6242,15.0204,16.5596,18.2566,18.5613,18.8116,
pol,Poland,,0.00523,0.0521,0.13,0.389,0.648,1.3,2.07,4.1,5.46,7.28543,9.90067,21.15,24.87,32.53,38.81,44.58,48.6,53.13,58.97,62.32,61.95,62.31,62.8492,66.59874,67.99699,73.3007,75.98537,77.54173,80.43591,83.18489,85.37491,86.94113,86.41474,88.58496,
prk,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prt,Portugal,,0.1,0.25,0.45,0.719,1.49,2.98,4.95,9.87,14.7,16.43047,18.08714,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,53.3,55.25,60.34,62.0956,64.59242,68.63286,70.42357,73.79121,74.66097,75.34638,78.26166,82.30903,84.49691,85.79013,88.48704,
pry,Paraguay,,,,,,,0.0204,0.0996,0.195,0.382,0.74763,1.09879,1.79497,2.11194,3.45244,7.90701,7.9621,11.21,14.27,18.9,19.8,24.76352,29.34,36.9,43.00738,49.7163,53.40413,61.07576,64.99354,68.51763,73.95751,77.01839,76.25917,78.09482,81.57807,
pse,Palestine,,,,,,,,,,,1.11131,1.83685,3.10009,4.13062,4.4009,16.005,18.41,21.176,24.358,32.23,37.4,41.08,43.4,46.6,53.6652,56.7,59.9,63.3,64.39999,70.62258,76.1816,,88.64691,86.63765,,
qat,Qatar,,,,,,0.19,0.93,3.08,3.52,4.07,4.86368,6.17027,10.22613,19.24234,20.70165,24.7335,28.9741,37,44.3,53.1,69,69,69.3,85.3,91.49,92.88483,95.12466,97.38885,99.65285,99.6528,99.65285,99.6528,98.038,98.1523,98.0854,
rou,Romania,,,,0.0037,0.0263,0.075,0.222,0.445,2.24,2.7,3.61372,4.53867,6.58,8.9,15,21.5,24.66,28.3,32.42,36.6,39.93,40.01,45.87999,49.7645,54.07832,55.76316,59.50395,63.74728,70.68128,73.65748,78.45527,83.59043,85.50309,89.20335,91.29049,
rus,Russia,,,0.00067,0.0134,0.0538,0.148,0.27,0.473,0.813,1.02,1.97723,2.94437,4.12827,8.29886,12.85939,15.2267,18.0233,24.66,32,42.55,49,58,66,67.97,70.51757,70.09924,73.09143,76.00814,80.86472,82.64216,84.99467,88.21385,90.41799,92.24496,94.36495,
rwa,Rwanda,,,,,,,0.00088,0.00163,0.0118,0.0672,0.06283,0.24067,0.29278,0.35692,0.43085,0.556,,2.1154,4.5,7.7,8,7,8.0239,9,10.6,12.456,14.6371,17.2,19.1666,21.358,23.8,24.4416,28.0168,28.8058,31.7033,
sau,Saudi Arabia,,,,,,0.011,0.0267,0.0521,0.101,0.494,2.21069,4.68105,6.38471,8.00158,10.23453,12.70504,19.45955,30,36,38,41,47.5,54,60.5,64.71366,69.61624,74.87927,94.1756,93.31,95.72474,97.86233,100,100,100,100,
sdn,Sudan,,,,,,,,0.00123,0.00481,0.00879,0.02579,0.14019,0.43948,0.53847,0.79156,,,8.66,,,,,,,,12,14.1,18.6,,,,,,,,
sen,Senegal,,,,,,0.00069,0.0112,0.0273,0.0799,0.311,0.40397,0.98379,1.00645,2.10144,4.38602,4.78668,5.61174,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,21.7,25.6648,29.6431,35.3,43.3797,53.3088,55.0404,56.8283,59.1874,60.1178,
sgp,Singapore,,0.162,0.471,0.763,1.19,2.87,8.35,13.5,19.6,24.2,36,41.67043,47,53.83794,62,61,59,69.9,69,69,71,71,72,80.9021,79.02924,79.01296,84.45227,84.45227,88.16564,88.94925,92.00435,96.92468,95.95386,94.28519,94.37757,
slb,Solomon Islands,,,,,,0.0249,0.269,0.392,0.508,0.495,0.4813,0.46855,0.50192,0.55561,0.64967,0.8443,1.6463,2,3,4,5,6,6.9974,8,9,10.0005,11.0009,15.1484,20.8594,22.4888,24.1984,26.0379,28.0173,28.6724,29.0407,
sle,Sierra Leone,,,,,,,0.00251,0.00499,0.0148,0.0485,0.11825,0.16026,0.1762,0.19017,0.20301,0.2154,0.2277,0.2398,0.25,0.26,0.58,0.9,2.5,4,6.0573,6.3444,7.6801,9.2971,14.4223,15.7137,17.1208,18.6539,21.5088,23.7136,25.105,
slv,El Salvador,,,,,,,0.0864,0.257,0.425,0.845,1.1774,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32139,23.1093,24.76171,26.8026,28.9971,33.82073,43.8,50.49119,54.60137,57.2638,60.0561,62.6199,66.4777,
smr,San Marino,,,,,,1.36,1.43,1.42,1.41,42.8,48.7995,50.34167,50.83484,50.00345,50.56634,,50.20866,50.36482,54.52,54.21,,49.6,,,,,55,60.1823,,67.8507,77.95,81.67,97.3279,97.3364,97.3522,
som,Somalia,,,,,,,0.00151,0.00295,0.00716,0.0139,0.02,0.07904,0.11561,0.3762,1.05345,1.0773,1.1002,1.1222,1.1427,1.1606,,1.25,1.3767,1.5,1.63,1.76,1.88,,,2.7314,15.0237,23.8748,27.6,26.1201,27.9402,
srb,Serbia,,,,,,,,,,,,,,,23.5,26.3,27.2,33.15,35.6,38.1,40.9,42.2,48.1,53.45036,62.07508,65.31703,67.05684,70.33084,73.36071,77.41677,78.36805,81.16588,83.53825,85.35747,87.69071,
ssd,South Sudan,,,,,,,,,,,,,,,,,,,,,,,1.5,2.2,2.6,3,3.5,4.1,4.8,6.671,,,,,,
stp,Sao Tome and Principe,,,,,,,,,0.296,0.363,4.63852,6.31092,7.58067,10.16184,13.32285,13.7595,14.182,14.59048,15.48,16.41,18.75,20.1612,21.5724,23,24.41,25.82,28,32.6164,37.9938,44.2579,51.5547,54.9495,58.5678,58.7013,59.1176,
sur,Suriname,,,,,,0.115,0.226,1,1.67,1.89,2.50641,3.06445,4.16157,4.71988,6.07605,6.40309,9.4996,14.11,21.06,31.36,31.59,32,34.6812,37.4,40.08,42.7638,45.4,48.9452,55.1021,62.0335,,,,87.4,,
svk,Slovak Republic,,,,0.128,0.319,0.523,0.783,1.17,2.69,5.44,9.4268,12.52832,40.14,43.04,52.89,55.19,56.08,61.8,66.05,70,75.71,74.44,76.70999,77.8826,79.9843,77.63468,80.47586,81.62567,80.44892,82.85366,89.9209,88.92561,89.06766,87.21313,89.82507,
svn,Slovenia,,,,0.41,1.07,2.9,5.07,7.59,10.1,12.6,15.11026,30.17591,27.83889,31.85479,40.81,46.81,54.01,56.74,58,64,70,67.33999,68.34997,72.6756,71.58625,73.09866,75.4985,78.88543,79.74998,83.10836,86.6013,89.004,88.91249,90.37795,90.76355,
swe,Sweden,0.584,1.16,1.5,1.72,3.41,5.1,9.04,23.7,33.5,41.4,45.68765,51.76566,70.57,79.13,83.89,84.83,87.76,82.01,90,91,90,92.76999,93.17999,94.7836,92.52361,90.6102,89.65095,93.00627,89.24696,94.49344,94.53943,94.67032,95.0097,95.70327,95.5293,95.7663
swz,Eswatini,,,,,,0.00103,0.0504,0.0885,0.0961,0.471,0.92619,1.28159,1.8162,2.43707,3.22869,3.697,3.69654,4.1,6.85,8.94,11.04,18.13,20.7818,24.7,25,25.643,28.57,35.3316,39.381,43.9339,49.013,53.9953,57.3437,61.3333,63.4031,
syc,Seychelles,,,,,,,0.651,1.28,2.53,6.23,7.39563,11.0151,14.30417,14.5925,24.27214,25.41327,34.95197,38.38,40.44,,41,43.164,47.076,50.4,51.2547,54.2596,56.5147,62.5531,69.2366,76.6342,79.2517,81.9953,84.8338,86.0013,87.818,
syr,Syria,,,,,,,,0.0326,0.0637,0.124,0.1817,0.35376,2.0931,3.39797,4.32159,5.6481,7.8326,11.5,14,17.3,20.7,22.5,24.3001,26.2,28.09,29.9798,31.8696,32.7,33.77,,,,,,,
tcd,Chad,,,,,,,,0.00066,0.00427,0.0123,0.03571,0.04593,0.16607,0.32031,0.36092,0.39926,0.58105,0.84722,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.8,6.3519,6.9563,7.6182,8.3431,9.6537,11.1703,12.0359,12.6269,
tgo,Togo,,,,,,,0.0109,0.211,0.306,0.59,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7,7.12,11.31,12.36022,15.5,20.7273,29.0237,30.3384,35.6075,37.5702,39.4832,
tha,Thailand,,0.00005,0.00034,0.0136,0.0386,0.0748,0.115,0.361,1.09,2.43,3.68904,5.55633,7.53125,9.29903,10.6773,15.026,17.16071,20.03,18.2,20.1,22.4,23.66993,26.46,28.94,34.88605,39.31613,47.50497,52.89193,56.81748,66.65242,77.84374,85.26957,87.97725,89.53525,90.86719,
tjk,Tajikistan,,,,,,,,,,0.0328,0.0486,0.05126,0.05546,0.06458,0.07748,0.29869,3.77241,7.19762,8.78,10.07,11.55,13.03,14.51,16,17.49,18.98,20.47,21.96,32.6,22.6863,27.5441,36.7056,48.9143,54.4155,55.7934,
tkm,Turkmenistan,,,,,,,,,,0.045,0.13328,0.17521,0.30213,0.42518,0.75405,0.9973,1.31957,1.40636,1.75,1.95,3,5,7.1958,9.6,12.2,14.9968,17.9903,,,,,,,,,
tls,Timor-Leste,,,,,,,,,,,,,,,,0.09903,0.5,1,1.5,2,3,4,7,11,17.5,18.6,21.2,24.2,27.6,28.0046,32.0127,35.042,,,,
ton,Tonga,,,,,,0.123,0.164,0.511,0.765,1.02,2.4344,2.82537,2.9073,2.98582,3.95237,4.9078,5.8539,7.1799,8.11077,10,16,25,30,32.754,35.9544,38.6513,39.95,46.2008,48.8079,51.563,54.4737,57.549,61.6074,64.1314,67.4417,
tto,Trinidad and Tobago,,,,,,0.158,0.393,1.17,2.72,5.81,7.72141,15.38463,21.99868,25.97176,27.02427,28.9767,30.0037,32.3,34.8,44.3,48.5,55.2,57.5,59.9,62.4,65.1,67.8,70.6,72.7603,74.9867,77.2813,84.36577,81.6976,81.9681,82.1599,
tun,Tunisia,,,,,0.00738,0.0112,0.0276,0.0437,0.108,1.6,2.75074,4.29797,5.25289,6.49085,8.52882,9.6551,12.9864,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,46.49999,49.59999,55.50016,64.19081,66.7,68.5564,68.31552,,,76.5,
tur,Turkey,,,,0.00846,0.0499,0.0817,0.193,0.474,0.699,2.29,3.76169,5.18948,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.06571,45.13,46.25,51.03737,53.74498,58.34773,64.68462,71.04276,73.9767,77.66956,81.40844,83.43717,85.96074,87.30788,89.77024
tuv,Tuvalu,,,,,,,,,,,5.24164,5.7,6.3,6.9,7.6,8.3,9.1,10,11.2,12.8,14.6,16.5,18.7,21.2,24.1,27.3,31,35.2,,,,,,,,
tza,Tanzania,,,,,,,0.00162,0.0079,0.00924,0.0751,0.11719,0.1713,0.22248,0.67696,0.87757,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7,10,13.50423,14.4634,15.4907,16.5909,19.4814,22.8754,26.8606,28.4319,31.1621,
uga,Uganda,,,,,,0.00286,0.00463,0.0103,0.0653,0.106,0.16371,0.23795,0.38409,0.46485,0.71997,1.7422,2.5294,3.67197,3.88,4.1,4.3,4.6,4.8,5.1,5.4,5.7,5.9,7.4179,9.3263,11.7258,7.4,10,9.6369,9.287,8.94983,
ukr,Ukraine,,,,0.00078,0.0136,0.0431,0.0986,0.199,0.301,0.405,0.71618,1.23876,1.87389,3.14813,3.48948,3.7498,4.50612,6.55,11,17.9,23.3,28.70826,35.27,40.95413,46.23598,48.88464,53.00097,58.88948,62.55316,70.12484,75.03791,79.21829,80.4743,81.5806,82.4749,
ury,Uruguay,,,,,0.0625,0.31,1.85,3.36,6.99,9.97,10.53906,11.12144,11.41947,15.93714,17.0631,20.08819,29.4,34,39.3,41.8,46.4,51.40466,54.45377,57.69,61.4625,64.57079,66.4,70.32235,80.72684,83.35153,85.471,87.6444,89.87304,90.9259,91.99109,
usa,USA,0.785,1.16,1.72,2.27,4.86,9.24,16.4,21.6,30.1,35.8,43.07916,49.08083,58.7854,61.69712,64.75826,67.9681,68.9312,75,74,71,71.69,69.72946,74.7,71.4,73,74.5542,85.54442,87.27489,88.4989,89.43028,90.3447,91.2684,92.7285,93.5256,94.6938,
uzb,Uzbekistan,,,,,,0.00153,0.00429,0.0105,0.0208,0.0307,0.48435,0.59757,1.08194,1.9126,2.59373,3.34351,6.38832,7.4906,9.08011,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.7913,48.7,55.2,70.4,71.1,76.59043,83.9,89.01361,89.5055,
vct,St. Vincent and the Grenadines,,,,,,0.129,0.483,0.926,1.85,2.78,3.24504,5.09481,5.54959,6.46227,7.37117,9.19828,12,16,21,31,33.7,36.7,40,43.5,47.4,49.4,51.5,53.7,56,59.5763,63.381,68.8334,74.7548,75.5368,76.1901,
ven,Venezuela,,,0.0121,0.0416,0.0555,0.122,0.248,0.391,1.38,2.84,3.3596,4.636,4.91045,7.49996,8.40447,12.553,15.22471,20.83,25.88,32.7,37.37,40.22,49.05008,54.9,57,58,60,,,49.0501,72.4411,74.1122,75.8218,76.3319,76.6789,
