geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
bgd,Bangladesh,,,,,,,,0.00075,0.00368,0.0362,0.07104,0.12981,0.13992,0.16388,0.19904,0.2416,1,1.8,2.5,3.1,3.7,4.5,5,6.63,9.0529,12.3688,16.8991,21.5,25.5651,30.3831,36.1091,38.91744,41.6165,44.50274,53.42171,
bgr,Bulgaria,,,,0.00234,0.0195,0.12,0.725,1.22,1.84,2.91,5.37092,7.6123,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999,51.89999,53.0615,55.49038,56.65625,59.82555,63.4101,64.78201,67.94698,70.16248,75.27145,79.12686,80.38956,82.43896,
bhr,Bahrain,,,,,,0.346,0.843,1.65,3.22,4.72,6.15373,15.03863,18.05072,21.55494,21.45868,21.3037,28.244,32.91,51.95,53,55,76.99997,88,90.00004,90.50313,93.4783,97.99998,95.87814,98.64467,99.7015,99.67103,100,100,100,100,
bhs,Bahamas,,,,,,0.96,1.75,1.36,2.34,3.76,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.7482,72,76.92,78,80,80.6,83,90.6933,92.4437,92.3498,92.256,92.3873,92.4727,
bih,Bosnia and Herzegovina,,,,,,,0.0151,0.0594,0.144,0.194,1.08296,1.20053,2.64827,3.96504,15.46897,21.3267,25.12239,27.92,34.66,37.74,42.75,43.8877,45.0645,48.5213,49.9177,52.6,60.25654,64.89202,70.12014,69.94635,73.21175,75.6762,78.84554,83.37715,86.10091,
blr,Belarus,,,,,0.00049,0.00292,0.0293,0.049,0.0739,0.495,1.8604,4.30062,8.95097,,,,16.2,19.7,23,27.43,31.8,39.6489,46.91,54.17,59.01632,62.23036,71.11305,74.43645,79.12989,82.78915,85.08791,86.88841,89.50733,91.5125,94.26182,
blz,Belize,,,,,,0.0454,0.883,1.29,2.09,4.08,5.96384,,5.68425,,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.59,44.5757,48.8771,53.5936,58.7652,64.4359,70.6537,69.9833,70.1872,80.00582,
bol,Bolivia,,,,,,0.0668,0.196,0.448,0.626,0.982,1.44276,2.12046,3.11719,3.5086,4.43992,5.22758,6.20067,10.4992,12.5,16.8,22.4,30,35.34,36.99,34.60162,37.48682,39.6975,43.8323,44.28614,47.47482,59.9401,65.97738,72.6227,77.3004,79.7047,
bra,Brazil,,0.00329,0.0129,0.0255,0.0377,0.105,0.451,0.786,1.48,2.04,2.87069,4.52849,9.14943,13.20759,19.07367,21.02275,28.1784,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.551,58.32795,60.87254,67.47128,70.43428,73.91244,81.34269,80.68989,80.52775,84.1506,84.46347,
brb,Barbados,,,,,,0.00775,0.389,0.783,1.97,2.38,3.97368,11.93645,27.83632,39.68963,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,71.9246,72.0494,71.573,71.1485,70.7265,70.3071,69.8901,69.4756,69.0636,69.6751,70.3647,
